#nu
# L TcL		log(L)	log(TcL-Tc)	log(TcL-Tcm)
#nu_e
15	2.31094	2.708050201	-3.1759436	-3.206059358
30	2.29324	3.401197382	-3.727425466	-3.780295076
45	2.28798	3.80666249	-3.97418112	-4.042361901
60	2.28519	4.094344562	-4.134873738	-4.215430884
75	2.28189	4.317488114	-4.365784394	-4.468372809
90	2.27697	4.49980967	-4.855596836	-5.028907522
120	2.26755	4.787491743	NaN NaN
				

#nu_c				
15	2.31828	2.708050201	-3.014004482	-3.039559655
30	2.29584	3.401197382	-3.624790317	-3.672378035
45	2.28633	3.80666249	-4.06606702	-4.141061524
60	2.28208	4.094344562	-4.350940007	-4.451937815
75	2.27703	4.317488114	-4.847918946	-5.019783313
90	2.27836	4.49980967	-4.691307132	-4.836351204
120	2.27569	4.787491743	-5.035232471	-5.246492197
				

#nu_cv				
15	2.35319	2.708050201	-2.476882699	-2.491738438
30	2.30294	3.401197382	-3.388636033	-3.426024295
45	2.29868	3.80666249	-3.523545175	-3.566450942
60	2.29358	4.094344562	-3.713389966	-3.765503167
75	2.28966	4.317488114	-3.888565996	-3.95097394
90	2.2807	4.49980967	-4.464132033	-4.577948289
120	2.27972	4.787491743	-4.553082058	-4.678175599
				

#nu_khi				
15	2.41181	2.708050201	-1.947538674	-1.956261838
30	2.34911	3.401197382	-2.526670515	-2.542290564
45	2.3178	3.80666249	-3.023829617	-3.049640395
60	2.30702	4.094344562	-3.274528984	-3.307817482
75	2.3024	4.317488114	-3.404763158	-3.442770972
90	2.2932	4.49980967	-3.729089728	-3.782049774
120	2.28713	4.787491743	-4.020461264	-4.091989858


#gamma/nu                
#L   T   max(khi)    log(L)  log(max(khi))
15  2.41181 5.42109097473656    2.70805020110221    1.69029708204784
30  2.34911 18.7566398872141    3.40119738166216    2.93154781704622
45  2.3178  37.3250859506043    3.80666248977032    3.61966564618494
60  2.30702 60.4528276246056    4.0943445622221     4.10186335222168
75  2.3024  93.0559536568762    4.31748811353631    4.5332009644576
90  2.2932  128.957949395757    4.49980967033027    4.8594863775444
120 2.28713 209.000357667333    4.78749174278205    5.3423359632903


#beta/nu             
#L   T   max(m)  log(L)  log(max(m))
15  2.35319 0.601395809355552   2.70805020110221    -0.508501976600387
30  2.30294 0.568442295691284   3.40119738166216    -0.564855473685103
45  2.29868 0.513005627631628   3.80666248977032    -0.667468463829378
60  2.29358 0.484503060592942   4.0943445622221 -0.724631530657971
75  2.28966 0.461167982626648   4.31748811353631    -0.773992914882022
90  2.2807  0.490874090362922   4.49980967033027    -0.711567619178785
120 2.27972 0.454998360311947   4.78749174278205    -0.787461463747686


#alpha/nu                
#L   T   max(cv) log(L)  log(max(m))
15  2.35319 1.50761856989402    2.70805020110221    0.41053129985556
30  2.30294 1.87087587599501    3.40119738166216    0.626406704094504
45  2.29868 2.06749749545986    3.80666248977032    0.726338936529177
60  2.29358 2.17005631030872    4.0943445622221 0.774753116666712
75  2.28966 2.32670084975462    4.31748811353631    0.844451319869858
90  2.2807  2.40108212059613    4.49980967033027    0.875919519318162
120 2.27972 2.54237584926523    4.78749174278205    0.933099017567511
